vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
5/20/22,0.000290162,0,0,90.14154138,13.35845862,425.3632689,78.63673112,241.3028318,106.0971683,220.8345186,174.2654814
5/21/22,0.000552663,0,0,116.0082446,17.19175545,837.054147,154.745853,473.8537472,208.3462528,427.0808799,337.0191201
5/22/22,0.00020176,0,0,117.5759235,17.42407646,311.426679,57.57332099,185.6656503,81.6343497,93.56542245,73.83457756
5/23/22,0.00022536,0,0,95.62841784,14.1715822,274.207393,50.69260703,235.6765999,103.6234001,153.4271712,121.0728288
5/24/22,0.000283779,0,0,100.3314548,14.86854525,309.9075245,57.29247553,345.0755521,151.7244479,190.6521242,150.4478758
5/25/22,0.000582646,0,0,137.9557503,20.44424972,922.1268006,170.4731992,600.1313949,263.8686051,333.0124175,262.7875825
5/26/22,0.000396362,0,0,138.7395897,20.56041023,616.0171626,113.8828374,308.1924768,135.5075232,285.7266664,225.4733336
5/27/22,0.00036367,0,0,112.0890471,16.6109529,498.2826864,92.11731363,327.5717198,144.0282803,280.1932274,221.1067726
5/28/22,3.87E-06,0,0,0,0,3.038309063,0.561690937,4.375958088,1.924041912,4.52735915,3.57264085
5/29/22,1.35E-06,0,0,0,0,3.797886329,0.702113671,0.62513687,0.27486313,0.503039905,0.396960095
5/30/22,7.74E-07,0,0,0.78383949,0.11616051,1.519154532,0.280845468,0.62513687,0.27486313,0,0
5/31/22,0.000854432,0,0,380.9459922,56.45400775,1289.002621,238.2973799,773.2943078,340.0056922,501.5307859,395.7692141
6/1/22,0.000271012,0,0,81.51930698,12.08069302,386.6248283,71.47517168,252.5552953,111.0447047,193.1673237,152.4326763
6/2/22,4.22E-05,0,0,170.8770089,25.32299113,0,0,0,0,0,0
6/3/22,0.000378952,0,0,140.3072688,20.79273125,565.1254858,104.4745142,295.6897394,130.0102606,283.2114668,223.4885332
6/4/22,0.000286874,0,0,127.7658369,18.93416309,360.7992013,66.70079871,235.051463,103.348537,235.9257157,186.1742843
6/5/22,0.000156881,0,0,108.1698496,16.03015034,277.245702,51.25429796,111.2743628,48.92563719,65.39518773,51.60481227
6/6/22,0.000129799,0,0,58.00412228,8.595877723,178.5006575,32.99934253,131.9038795,57.99612049,75.95902575,59.94097425
6/7/22,0.0003097,0,0,147.3618242,21.83817584,505.1188818,93.3811182,260.6820746,114.6179254,166.5062087,131.3937913
6/8/22,0.000309507,0,0,146.5779847,21.72201533,539.2998588,99.70014123,209.4208513,92.07914868,185.1186853,146.0813147
6/9/22,4.08E-05,0,0,165.3901324,24.50986756,0,0,0,0,0,0
6/10/22,0.000406808,0,0,129.3335159,19.16648411,416.2483417,76.95165831,265.0580328,116.5419672,485.9365488,383.4634512
6/11/22,0.000302156,0,0,195.1760331,28.92396694,439.795237,81.30476307,288.1880969,126.7119031,137.3298943,108.3701057
6/12/22,0.000140245,0,0,105.8183312,15.68166882,244.5838796,45.21612039,100.647036,44.25296397,53.8252699,42.4747301
6/13/22,0.000197891,0,0,57.22028279,8.479717214,323.5799153,59.82008475,260.6820746,114.6179254,53.8252699,42.4747301
6/14/22,0.000635456,0,0,94.84457832,14.05542168,1026.188887,189.7111139,673.2724087,296.0275913,370.2373705,292.1626295
6/15/22,0.000280297,0,0,145.7941451,21.60585482,449.6697414,83.13025861,234.4263261,103.0736739,148.899812,117.500188
6/16/22,9.49E-05,0,0,108.6924093,16.10759069,133.0526178,24.59738227,60.01313949,26.38686051,40.57855239,32.02144762
6/17/22,9.49E-05,0,0,108.6924093,16.10759069,133.0526178,24.59738227,60.01313949,26.38686051,40.57855239,32.02144762
6/18/22,9.49E-05,0,0,108.6924093,16.10759069,133.0526178,24.59738227,60.01313949,26.38686051,40.57855239,32.02144762
6/19/22,9.49E-05,0,0,108.6924093,16.10759069,133.0526178,24.59738227,60.01313949,26.38686051,40.57855239,32.02144762
6/20/22,9.49E-05,0,0,108.6924093,16.10759069,133.0526178,24.59738227,60.01313949,26.38686051,40.57855239,32.02144762
6/21/22,9.49E-05,0,0,108.6924093,16.10759069,133.0526178,24.59738227,60.01313949,26.38686051,40.57855239,32.02144762
6/22/22,4.32E-05,0,0,27.88229044,4.131995276,62.82789098,11.61496616,41.16972813,18.10170044,19.61855632,15.48144368
6/23/22,4.32E-05,0,0,27.88229044,4.131995276,62.82789098,11.61496616,41.16972813,18.10170044,19.61855632,15.48144368
6/24/22,4.32E-05,0,0,27.88229044,4.131995276,62.82789098,11.61496616,41.16972813,18.10170044,19.61855632,15.48144368
6/25/22,4.32E-05,0,0,27.88229044,4.131995276,62.82789098,11.61496616,41.16972813,18.10170044,19.61855632,15.48144368
6/26/22,4.32E-05,0,0,27.88229044,4.131995276,62.82789098,11.61496616,41.16972813,18.10170044,19.61855632,15.48144368
6/27/22,4.32E-05,0,0,27.88229044,4.131995276,62.82789098,11.61496616,41.16972813,18.10170044,19.61855632,15.48144368
6/28/22,4.32E-05,0,0,27.88229044,4.131995276,62.82789098,11.61496616,41.16972813,18.10170044,19.61855632,15.48144368
6/29/22,0.000741047,0,0,2475.36511,366.8348899,250.0094315,46.21913992,102.8796677,45.23461802,90.11600595,71.11256547
6/30/22,0.000741047,0,0,2475.36511,366.8348899,250.0094315,46.21913992,102.8796677,45.23461802,90.11600595,71.11256547
7/1/22,0.000741047,0,0,2475.36511,366.8348899,250.0094315,46.21913992,102.8796677,45.23461802,90.11600595,71.11256547
7/2/22,0.000741047,0,0,2475.36511,366.8348899,250.0094315,46.21913992,102.8796677,45.23461802,90.11600595,71.11256547
7/3/22,0.000741047,0,0,2475.36511,366.8348899,250.0094315,46.21913992,102.8796677,45.23461802,90.11600595,71.11256547
7/4/22,0.000741047,0,0,2475.36511,366.8348899,250.0094315,46.21913992,102.8796677,45.23461802,90.11600595,71.11256547
7/5/22,0.000741047,0,0,2475.36511,366.8348899,250.0094315,46.21913992,102.8796677,45.23461802,90.11600595,71.11256547
7/6/22,0.000233374,0,0,354.1834724,52.48795605,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
7/7/22,0.000233374,0,0,354.1834724,52.48795605,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
7/8/22,0.000233374,0,0,354.1834724,52.48795605,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
7/9/22,0.000233374,0,0,354.1834724,52.48795605,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
7/10/22,0.000233374,0,0,354.1834724,52.48795605,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
7/11/22,0.000233374,0,0,354.1834724,52.48795605,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
7/12/22,0.000233374,0,0,354.1834724,52.48795605,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
7/13/22,0.000284691,0,0,401.6617502,59.52396407,351.5757631,64.99566553,171.6447234,75.46956235,111.6029962,88.06843238
7/14/22,0.000284691,0,0,401.6617502,59.52396407,351.5757631,64.99566553,171.6447234,75.46956235,111.6029962,88.06843238
7/15/22,0.000284691,0,0,401.6617502,59.52396407,351.5757631,64.99566553,171.6447234,75.46956235,111.6029962,88.06843238
7/16/22,0.000284691,0,0,401.6617502,59.52396407,351.5757631,64.99566553,171.6447234,75.46956235,111.6029962,88.06843238
7/17/22,0.000284691,0,0,401.6617502,59.52396407,351.5757631,64.99566553,171.6447234,75.46956235,111.6029962,88.06843238
7/18/22,0.000284691,0,0,401.6617502,59.52396407,351.5757631,64.99566553,171.6447234,75.46956235,111.6029962,88.06843238
7/19/22,0.000284691,0,0,401.6617502,59.52396407,351.5757631,64.99566553,171.6447234,75.46956235,111.6029962,88.06843238
7/20/22,0.000274549,0,0,444.9968764,65.94598085,215.6114325,39.85999611,177.4495658,78.02186286,142.7914704,112.6799582
7/21/22,0.00023423,0,0,357.6547617,53.00238118,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
7/22/22,0.00023423,0,0,357.6547617,53.00238118,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
7/23/22,0.00023423,0,0,357.6547617,53.00238118,301.4436635,55.72776507,135.3867849,59.5275008,71.00048951,56.02808188
